DC.identifier,DC.source,DC.date,DC.title,DC.publisher,filename_html,filename,n_tokens
816007,https://www.berlin.de/ba-pankow/aktuelles/pressemitteilungen/2019/pressemitteilung.816007.php,31.05.2019,Klimaverträgliche Straßenbäume - Rundgang in Prenzlauer Berg am 04.06.2019,Bezirksamt Pankow,816007.html,816007.txt,570
816000,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.816000.php,31.05.2019,Zum Biesdorfer Blütenfest 2019: HYBRID SCULPTORS / VIRTUELLE BILDHAUER,Bezirksamt Marzahn-Hellersdorf,816000.html,816000.txt,796
815997,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815997.php,31.05.2019,Musikalische Lesung in der Krankenhauskirche im Wuhlgarten,Bezirksamt Marzahn-Hellersdorf,815997.html,815997.txt,814
815986,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815986.php,31.05.2019,KLASSE DAMEN! 100 Jahre Öffnung der Berliner Kunstakademie für Frauen,Bezirksamt Marzahn-Hellersdorf,815986.html,815986.txt,1174
815976,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815976.php,31.05.2019,Einbürgerungsbehörde öffnet wieder für Publikumsverkehr,Bezirksamt Marzahn-Hellersdorf,815976.html,815976.txt,565
815958,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815958.php,31.05.2019,Marzahner Mühle öffnet am Deutschen Mühlentag,Bezirksamt Marzahn-Hellersdorf,815958.html,815958.txt,584
815950,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2019/pressemitteilung.815950.php,31.05.2019,Figur des „Hauptmann von Köpenick“ stärken,Bezirksamt Treptow-Köpenick,815950.html,815950.txt,1009
815944,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2019/pressemitteilung.815944.php,31.05.2019,Umsetzung der Lösung für den Übergang in die siebten Schulklassen,Bezirksamt Treptow-Köpenick,815944.html,815944.txt,1035
815941,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815941.php,31.05.2019,Heimatverein: Tagesexkursion nach Zehdenick,Bezirksamt Marzahn-Hellersdorf,815941.html,815941.txt,726
815424,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.815424.php,31.05.2019,„Eifersüchtig - ein etwas anderer Opernabend“ am 14.06.2019 im Rathaus Steglitz - Kartenbestellungen ab sofort,Bezirksamt Steglitz-Zehlendorf,815424.html,815424.txt,797
